group	n	k	d_ub	m4ri_trials	code_id
SmallGroup(5,1)	320	2	28	4000000	SmallGroup_5_1__AAp15_0_0_0_0_1_1_1_3_BBp15_0_0_1_3_3_3_4_4_k2_d32
SmallGroup(5,1)	320	4	20	4000000	SmallGroup_5_1__AAp15_0_0_0_0_0_0_0_1_BBp10_0_0_1_1_2_2_3_3_k4_d20
SmallGroup(5,1)	320	6	20	4000000	SmallGroup_5_1__AAp15_0_0_0_0_0_0_0_2_BBp11_0_1_1_2_2_3_3_4_k6_d20
SmallGroup(5,1)	320	8	16	4000000	SmallGroup_5_1__AAp6_0_0_0_0_1_1_1_1_BBp15_0_0_0_1_3_3_4_4_k8_d16
SmallGroup(5,1)	320	10	16	4000000	SmallGroup_5_1__AAp15_0_0_0_0_1_1_1_2_BBp15_0_0_0_0_1_3_3_3_k10_d16
SmallGroup(5,1)	320	12	16	4000000	SmallGroup_5_1__AAp10_0_0_1_1_2_2_4_4_BBp15_0_0_0_0_1_1_1_2_k12_d16
SmallGroup(5,1)	320	14	16	4000000	SmallGroup_5_1__AAp11_0_0_1_1_2_2_2_3_BBp15_0_0_0_0_1_1_1_2_k14_d16
SmallGroup(5,1)	320	16	14	4000000	SmallGroup_5_1__AAp10_0_0_1_1_3_3_3_4_BBp6_0_0_0_0_1_1_1_1_k16_d14
SmallGroup(5,1)	320	18	16	4000000	SmallGroup_5_1__AAp0_0_0_0_0_1_3_3_3_BBp11_0_1_1_2_2_3_3_4_k18_d16
SmallGroup(5,1)	320	20	14	4000000	SmallGroup_5_1__AAp10_0_0_1_1_2_2_4_4_BBp11_0_0_1_2_2_3_3_4_k20_d14
SmallGroup(5,1)	320	22	8	4000000	SmallGroup_5_1__AAp23_0_0_1_1_2_2_4_4_BBp11_0_0_1_2_2_3_3_4_k22_d8
SmallGroup(5,1)	320	24	12	4000000	SmallGroup_5_1__AAp11_0_0_1_1_2_2_2_3_BBp6_0_0_0_1_2_3_3_4_k24_d12
SmallGroup(5,1)	320	26	14	4000000	SmallGroup_5_1__AAp11_0_0_1_1_2_2_3_4_BBp11_0_0_1_2_2_3_3_4_k26_d14
SmallGroup(5,1)	320	32	12	4000000	SmallGroup_5_1__AAp6_0_0_0_1_2_2_3_4_BBp11_0_0_1_2_2_3_3_4_k32_d12
SmallGroup(5,1)	320	40	10	4000000	SmallGroup_5_1__AAp6_0_0_0_1_2_2_3_4_BBp6_0_0_0_1_1_2_3_4_k40_d10
SmallGroup(6,2)	384	2	24	4000000	SmallGroup_6_2__AAp15_0_0_0_0_0_0_0_3_BBp4_0_0_1_2_2_3_5_5_k2_d24
SmallGroup(6,2)	384	4	24	4000000	SmallGroup_6_2__AAp15_0_0_0_0_0_2_2_5_BBp10_0_1_1_2_3_3_5_5_k4_d28
SmallGroup(6,2)	384	6	24	4000000	SmallGroup_6_2__AAp0_0_0_0_1_2_2_3_5_BBp4_0_0_1_2_2_3_5_5_k6_d24
SmallGroup(6,2)	384	8	24	4000000	SmallGroup_6_2__AAp0_0_0_1_1_2_3_3_4_BBp4_0_0_1_2_2_3_5_5_k8_d24
SmallGroup(6,1)	384	10	20	4000000	SmallGroup_6_1__AAp10_0_0_1_1_2_2_2_3_BBp16_0_0_1_3_4_4_4_5_k10_d20
SmallGroup(6,1)	384	12	20	4000000	SmallGroup_6_1__AAp15_0_0_0_1_1_2_2_2_BBp15_0_0_0_1_1_2_4_4_k12_d20
SmallGroup(6,1)	384	14	20	4000000	SmallGroup_6_1__AAp15_0_0_0_1_1_2_2_2_BBp15_0_1_1_2_2_3_5_5_k14_d20
SmallGroup(6,1)	384	16	20	4000000	SmallGroup_6_1__AAp10_0_0_1_1_3_3_4_4_BBp16_0_0_1_3_4_4_4_5_k16_d20
SmallGroup(6,2)	384	18	18	4000000	SmallGroup_6_2__AAp14_0_0_0_2_2_3_5_5_BBp10_0_0_1_1_2_2_2_3_k18_d18
SmallGroup(6,1)	384	20	20	4000000	SmallGroup_6_1__AAp15_0_1_1_2_2_3_5_5_BBp16_0_0_1_3_4_4_4_5_k20_d20
SmallGroup(6,1)	384	22	16	4000000	SmallGroup_6_1__AAp15_0_1_1_2_2_3_5_5_BBp10_0_0_1_1_3_3_4_5_k22_d16
SmallGroup(6,2)	384	24	18	4000000	SmallGroup_6_2__AAp14_0_1_1_2_3_3_4_4_BBp10_0_1_1_2_2_4_5_5_k24_d18
SmallGroup(6,2)	384	26	16	4000000	SmallGroup_6_2__AAp0_0_0_1_1_2_3_4_5_BBp22_0_0_0_1_2_3_4_5_k26_d16
SmallGroup(6,1)	384	28	16	4000000	SmallGroup_6_1__AAp10_0_0_1_1_3_3_4_5_BBp14_0_1_2_3_3_4_5_5_k28_d16
SmallGroup(6,1)	384	30	16	4000000	SmallGroup_6_1__AAp11_0_1_1_1_2_3_4_5_BBp14_0_1_2_3_3_4_5_5_k30_d16
SmallGroup(6,1)	384	32	12	4000000	SmallGroup_6_1__AAp20_0_1_2_3_3_4_5_5_BBp10_0_0_1_1_3_3_4_4_k32_d12
SmallGroup(6,1)	384	34	12	4000000	SmallGroup_6_1__AAp20_0_1_2_3_3_4_5_5_BBp10_0_0_1_1_3_3_4_5_k34_d12
SmallGroup(6,1)	384	36	12	4000000	SmallGroup_6_1__AAp20_0_1_2_3_3_4_5_5_BBp11_0_1_1_1_2_3_4_5_k36_d12
SmallGroup(6,2)	384	38	12	4000000	SmallGroup_6_2__AAp11_0_0_1_1_2_2_3_4_BBp11_0_1_2_2_3_3_4_5_k38_d12
SmallGroup(6,2)	384	40	12	4000000	SmallGroup_6_2__AAp11_0_0_1_1_2_2_3_4_BBp6_0_0_2_2_3_4_4_5_k40_d12
SmallGroup(6,1)	384	42	12	4000000	SmallGroup_6_1__AAp20_0_1_2_3_3_4_5_5_BBp27_0_0_1_2_3_4_5_5_k42_d12
SmallGroup(6,1)	384	44	12	4000000	SmallGroup_6_1__AAp0_0_1_1_2_2_3_3_4_BBp11_0_1_2_2_3_3_4_5_k44_d12
SmallGroup(6,1)	384	46	8	4000000	SmallGroup_6_1__AAp0_0_0_2_2_3_3_5_5_BBp20_0_0_1_2_3_3_3_5_k46_d8
SmallGroup(6,1)	384	50	8	4000000	SmallGroup_6_1__AAp0_0_0_2_2_3_3_5_5_BBp6_0_0_0_1_1_1_2_4_k50_d8
SmallGroup(6,1)	384	52	8	4000000	SmallGroup_6_1__AAp0_0_0_2_2_3_3_5_5_BBp0_0_0_1_1_2_2_3_3_k52_d8
SmallGroup(7,1)	448	2	36	4000000	SmallGroup_7_1__AAp15_0_0_0_0_0_1_2_2_BBp15_0_0_0_1_1_2_3_5_k2_d50
SmallGroup(7,1)	448	4	28	4000000	SmallGroup_7_1__AAp15_0_0_0_0_0_1_1_2_BBp10_0_1_2_4_4_5_5_6_k4_d36
SmallGroup(7,1)	448	6	26	4000000	SmallGroup_7_1__AAp15_0_0_0_0_0_0_4_6_BBp0_0_1_1_2_3_5_6_6_k6_d28
SmallGroup(7,1)	448	8	26	4000000	SmallGroup_7_1__AAp15_0_0_0_0_0_1_1_4_BBp6_0_0_1_2_2_4_5_6_k8_d26
SmallGroup(7,1)	448	12	22	4000000	SmallGroup_7_1__AAp14_0_0_1_3_3_4_5_6_BBp0_0_0_1_2_2_3_5_6_k12_d22
SmallGroup(7,1)	448	14	24	4000000	SmallGroup_7_1__AAp15_0_0_0_1_1_2_2_3_BBp15_0_0_0_1_1_2_4_4_k14_d24
SmallGroup(7,1)	448	16	24	4000000	SmallGroup_7_1__AAp10_0_0_1_2_2_3_3_6_BBp15_0_0_0_1_1_2_4_4_k16_d24
SmallGroup(7,1)	448	18	20	4000000	SmallGroup_7_1__AAp0_0_0_0_1_1_3_4_5_BBp15_0_0_0_1_1_2_4_4_k18_d20
SmallGroup(7,1)	448	20	22	4000000	SmallGroup_7_1__AAp14_0_0_1_3_3_4_5_6_BBp13_0_0_1_2_2_5_5_6_k20_d22
SmallGroup(7,1)	448	24	20	4000000	SmallGroup_7_1__AAp10_0_1_2_2_3_3_5_6_BBp0_0_1_2_3_3_4_5_6_k24_d20
SmallGroup(7,1)	448	28	18	4000000	SmallGroup_7_1__AAp6_0_0_1_2_3_5_5_6_BBp14_0_0_1_3_3_4_6_6_k28_d18
SmallGroup(7,1)	448	30	18	4000000	SmallGroup_7_1__AAp0_0_0_0_1_1_3_4_5_BBp0_0_0_1_2_3_4_5_6_k30_d18
SmallGroup(7,1)	448	32	16	4000000	SmallGroup_7_1__AAp6_0_0_1_1_2_3_3_4_BBp6_0_0_1_2_3_4_5_5_k32_d16
SmallGroup(7,1)	448	36	16	4000000	SmallGroup_7_1__AAp0_0_0_1_2_3_4_4_5_BBp6_0_0_1_2_2_3_3_5_k36_d16
SmallGroup(7,1)	448	44	14	4000000	SmallGroup_7_1__AAp6_0_0_1_3_3_4_5_6_BBp6_0_0_1_2_2_3_3_5_k44_d14
