code_id	group	n	k	d_recorded	distance_trials	distance_method	A_id	B_id	run_dir	src_dir	collected_dir
C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19	C11	396	4	19	600000	dist-m4ri	p6_0_0_0_0_2_2	p16_0_1_5_5_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19	best_codes/collected/C11_AAp6_0_0_0_0_2_2_BBp16_0_1_5_5_9_10_k4_d19
C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18	C11	396	4	18	600000	dist-m4ri	p6_0_0_0_0_1_1	p27_0_4_4_9_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18	best_codes/collected/C11_AAp6_0_0_0_0_1_1_BBp27_0_4_4_9_9_10_k4_d18
C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16	C11	396	4	16	600000	dist-m4ri	p6_0_0_0_0_1_1	p8_0_0_1_4_7_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16	best_codes/collected/C11_AAp6_0_0_0_0_1_1_BBp8_0_0_1_4_7_7_k4_d16
C11_AAp27_0_0_4_4_7_10_BBp6_0_0_0_0_1_1_k4_d14	C11	396	4	14	600000	dist-m4ri	p27_0_0_4_4_7_10	p6_0_0_0_0_1_1	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp27_0_0_4_4_7_10_BBp6_0_0_0_0_1_1_k4_d14	best_codes/collected/C11_AAp27_0_0_4_4_7_10_BBp6_0_0_0_0_1_1_k4_d14
C11_AAp11_0_0_0_1_1_9_BBp0_0_4_5_6_9_10_k6_d20	C11	396	6	20	600000	dist-m4ri	p11_0_0_0_1_1_9	p0_0_4_5_6_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_1_1_9_BBp0_0_4_5_6_9_10_k6_d20	best_codes/collected/C11_AAp11_0_0_0_1_1_9_BBp0_0_4_5_6_9_10_k6_d20
C11_AAp11_0_0_0_3_3_7_BBp0_0_2_5_6_7_8_k6_d19	C11	396	6	19	600000	dist-m4ri	p11_0_0_0_3_3_7	p0_0_2_5_6_7_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_3_3_7_BBp0_0_2_5_6_7_8_k6_d19	best_codes/collected/C11_AAp11_0_0_0_3_3_7_BBp0_0_2_5_6_7_8_k6_d19
C11_AAp11_0_0_0_1_1_5_BBp0_0_1_4_5_7_8_k6_d17	C11	396	6	17	600000	dist-m4ri	p11_0_0_0_1_1_5	p0_0_1_4_5_7_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp11_0_0_0_1_1_5_BBp0_0_1_4_5_7_8_k6_d17	best_codes/collected/C11_AAp11_0_0_0_1_1_5_BBp0_0_1_4_5_7_8_k6_d17
C11_AAp0_0_3_4_5_6_9_BBp27_0_4_4_9_9_10_k6_d16	C11	396	6	16	600000	dist-m4ri	p0_0_3_4_5_6_9	p27_0_4_4_9_9_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp0_0_3_4_5_6_9_BBp27_0_4_4_9_9_10_k6_d16	best_codes/collected/C11_AAp0_0_3_4_5_6_9_BBp27_0_4_4_9_9_10_k6_d16
C11_AAp0_0_3_4_5_6_9_BBp27_0_1_1_5_5_8_k6_d15	C11	396	6	15	600000	dist-m4ri	p0_0_3_4_5_6_9	p27_0_1_1_5_5_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp0_0_3_4_5_6_9_BBp27_0_1_1_5_5_8_k6_d15	best_codes/collected/C11_AAp0_0_3_4_5_6_9_BBp27_0_1_1_5_5_8_k6_d15
C11_AAp27_0_0_4_4_7_10_BBp0_0_1_5_6_6_7_k6_d14	C11	396	6	14	600000	dist-m4ri	p27_0_0_4_4_7_10	p0_0_1_5_6_6_7	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp27_0_0_4_4_7_10_BBp0_0_1_5_6_6_7_k6_d14	best_codes/collected/C11_AAp27_0_0_4_4_7_10_BBp0_0_1_5_6_6_7_k6_d14
C11_AAp6_0_0_0_1_3_4_BBp6_0_3_5_8_8_10_k8_d24	C11	396	8	24	600000	dist-m4ri	p6_0_0_0_1_3_4	p6_0_3_5_8_8_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_3_4_BBp6_0_3_5_8_8_10_k8_d24	best_codes/collected/C11_AAp6_0_0_0_1_3_4_BBp6_0_3_5_8_8_10_k8_d24
C11_AAp6_0_0_0_1_2_3_BBp6_0_3_5_8_8_10_k8_d22	C11	396	8	22	600000	dist-m4ri	p6_0_0_0_1_2_3	p6_0_3_5_8_8_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_3_BBp6_0_3_5_8_8_10_k8_d22	best_codes/collected/C11_AAp6_0_0_0_1_2_3_BBp6_0_3_5_8_8_10_k8_d22
C11_AAp6_0_0_0_1_2_3_BBp6_0_1_2_7_7_8_k8_d21	C11	396	8	21	600000	dist-m4ri	p6_0_0_0_1_2_3	p6_0_1_2_7_7_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_3_BBp6_0_1_2_7_7_8_k8_d21	best_codes/collected/C11_AAp6_0_0_0_1_2_3_BBp6_0_1_2_7_7_8_k8_d21
C11_AAp6_0_0_0_1_2_4_BBp6_0_0_3_6_8_8_k8_d20	C11	396	8	20	600000	dist-m4ri	p6_0_0_0_1_2_4	p6_0_0_3_6_8_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_4_BBp6_0_0_3_6_8_8_k8_d20	best_codes/collected/C11_AAp6_0_0_0_1_2_4_BBp6_0_0_3_6_8_8_k8_d20
C11_AAp6_0_0_0_0_2_2_BBp6_0_3_4_6_6_9_k8_d18	C11	396	8	18	600000	dist-m4ri	p6_0_0_0_0_2_2	p6_0_3_4_6_6_9	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_2_2_BBp6_0_3_4_6_6_9_k8_d18	best_codes/collected/C11_AAp6_0_0_0_0_2_2_BBp6_0_3_4_6_6_9_k8_d18
C11_AAp6_0_0_0_0_1_1_BBp6_0_0_3_6_8_8_k8_d16	C11	396	8	16	600000	dist-m4ri	p6_0_0_0_0_1_1	p6_0_0_3_6_8_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_0_1_1_BBp6_0_0_3_6_8_8_k8_d16	best_codes/collected/C11_AAp6_0_0_0_0_1_1_BBp6_0_0_3_6_8_8_k8_d16
