group	k	n	d_ub	m4ri_trials	code_id
C10	2	40	6	20000	C10_n40_k2_d6_A0_1_B0_3_e9d97098
C10xC2	2	80	8	20000	C10xC2_n80_k2_d8_A0_2_B0_5_70fa66c6
C10xC2	4	80	6	20000	C10xC2_n80_k4_d6_A0_2_B0_6_268168c9
C11	2	44	6	20000	C11_n44_k2_d6_A0_1_B0_3_481a2b89
C12	2	48	6	20000	C12_n48_k2_d6_A0_1_B0_3_9a8ba9a0
C13	2	52	6	20000	C13_n52_k2_d6_A0_1_B0_3_74819b8a
C14	2	56	6	20000	C14_n56_k2_d6_A0_1_B0_3_83998973
C15	2	60	6	20000	C15_n60_k2_d6_A0_1_B0_3_d05b0c2d
C16	2	64	8	20000	C16_n64_k2_d8_A0_1_B0_4_03b745d0
C16	4	64	4	20000	C16_n64_k4_d4_A0_2_B0_4_9771bfc6
C16	8	64	4	20000	C16_n64_k8_d4_A0_4_B0_8_dc0c210d
C17	2	68	8	20000	C17_n68_k2_d8_A0_1_B0_4_b7da1af9
C18	2	72	8	20000	C18_n72_k2_d8_A0_1_B0_4_c13f41af
C18	4	72	6	20000	C18_n72_k4_d6_A0_2_B0_6_efe20cbe
C19	2	76	8	20000	C19_n76_k2_d8_A0_1_B0_4_555a9ed3
C21	2	84	8	20000	C21_n84_k2_d8_A0_1_B0_4_d61fccd8
C3xC3	2	36	6	20000	C3xC3_n36_k2_d6_A0_1_B0_3_1e9848b0
